"","Site","Date","Time","CO2","delCO2","CH4","delCH4","WaterTemp_C","Baro_inHg","pH","Alk_mgLCaCO3","Alk_mol_m3","SampleDateTime"
"46","Beaver","2018-08-30","10:00",574.5204454,-22.42666609,12.94990193,-63.409234,8.69,26.37,8.11,NA,NA,2018-08-30 10:00:00
"64","Beaver","2018-08-30","10:00",578.55959,-21.70110933,13.61597213,-63.03433898,8.69,26.37,8.11,NA,NA,2018-08-30 10:00:00
"66","Beaver","2018-08-30","10:00",564.6225975,-22.48363452,12.80953252,-62.97933962,8.69,26.37,8.11,NA,NA,2018-08-30 10:00:00
"48","Beaver","2018-08-30","12:00",520.5422185,-22.63452259,12.86018866,-63.35689131,10.77,26.36,8.25,150,0.00249966671110519,2018-08-30 12:00:00
"60","Beaver","2018-08-30","12:00",503.4101985,-22.16249286,11.92125824,-63.25704762,10.77,26.36,8.25,150,0.00249966671110519,2018-08-30 12:00:00
"77","Beaver","2018-08-30","12:00",495.8164877,-22.28021904,11.8228952,-63.00842964,10.77,26.36,8.25,150,0.00249966671110519,2018-08-30 12:00:00
"47","Beaver","2018-08-30","14:00",487.3991988,-20.64611905,11.53563337,-63.02498582,12.93,26.36,8.28,152,0.00253299560058659,2018-08-30 14:00:00
"63","Beaver","2018-08-30","14:00",471.5386503,-20.974228,11.39010767,-62.87828719,12.93,26.36,8.28,152,0.00253299560058659,2018-08-30 14:00:00
"74","Beaver","2018-08-30","14:00",455.553038,-21.01370762,11.20825626,-62.50938817,12.93,26.36,8.28,152,0.00253299560058659,2018-08-30 14:00:00
"51","Beaver","2018-08-30","16:00",412.0482583,-20.71361143,11.48701915,-62.535437,14.16,26.36,8.4,156,0.00259965337954939,2018-08-30 16:00:00
"61","Beaver","2018-08-30","16:00",405.1038969,-20.72461223,11.14937331,-62.45758485,14.16,26.36,8.4,156,0.00259965337954939,2018-08-30 16:00:00
"72","Beaver","2018-08-30","16:00",422.0209144,-20.7101405,11.23953992,-62.49883798,14.16,26.36,8.4,156,0.00259965337954939,2018-08-30 16:00:00
"44","Beaver","2018-08-30","18:00",385.5450113,-22.66788823,10.56643845,-62.77014767,12.77,26.35,8.36,152,0.00253299560058659,2018-08-30 18:00:00
"57","Beaver","2018-08-30","18:00",390.0389722,-22.12194471,10.8786673,-62.12933628,12.77,26.35,8.36,152,0.00253299560058659,2018-08-30 18:00:00
"68","Beaver","2018-08-30","18:00",403.9459854,-21.75876093,10.50003441,-62.59537997,12.77,26.35,8.36,152,0.00253299560058659,2018-08-30 18:00:00
"42","Beaver","2018-08-30","20:00",513.4503874,-22.86899305,14.35165887,-62.28473729,10.17,26.37,8.17,NA,NA,2018-08-30 20:00:00
"59","Beaver","2018-08-30","20:00",516.5093714,-22.22148561,14.30929838,-62.90506285,10.17,26.37,8.17,NA,NA,2018-08-30 20:00:00
"67","Beaver","2018-08-30","20:00",512.2469873,-22.73040437,13.89905381,-62.50400838,10.17,26.37,8.17,NA,NA,2018-08-30 20:00:00
"49","Beaver","2018-08-30","22:00",687.086489,-22.50240594,18.82825347,-62.72258894,9.13,26.41,8.02,NA,NA,2018-08-30 22:00:00
"53","Beaver","2018-08-30","22:00",670.116289,-22.16083712,17.84460543,-62.72258452,9.13,26.41,8.02,NA,NA,2018-08-30 22:00:00
"71","Beaver","2018-08-30","22:00",662.134662,-22.23776342,17.36238484,-62.71762231,9.13,26.41,8.02,NA,NA,2018-08-30 22:00:00
"40","Beaver","2018-08-30","6:00",881.1814021,-20.99264071,17.89984827,-63.17296995,7.68,26.34,NA,NA,NA,2018-08-30 06:00:00
"56","Beaver","2018-08-30","6:00",784.4880569,-21.70056557,16.59098243,-63.1522208,7.68,26.34,NA,NA,NA,2018-08-30 06:00:00
"73","Beaver","2018-08-30","6:00",761.9661982,-22.1906214,15.84600181,-63.32843476,7.68,26.34,NA,NA,NA,2018-08-30 06:00:00
"45","Beaver","2018-08-30","8:00",763.22298,-21.92048461,15.57654309,-63.21631379,7.76,26.36,7.94,146,0.00243300893214238,2018-08-30 08:00:00
"55","Beaver","2018-08-30","8:00",757.5221306,-22.32476554,15.03229641,-63.47684829,7.76,26.36,7.94,146,0.00243300893214238,2018-08-30 08:00:00
"76","Beaver","2018-08-30","8:00",738.9062751,-22.10452932,14.75973008,-63.2279567,7.76,26.36,7.94,146,0.00243300893214238,2018-08-30 08:00:00
"50","Beaver","2018-08-31","0:00",742.7963305,-21.92648835,19.68590779,-63.10635587,8.33,26.43,7.94,144,0.00239968004266098,2018-08-31 00:00:00
"62","Beaver","2018-08-31","0:00",754.85221,-21.97232908,20.59090817,-63.35935031,8.33,26.43,7.94,144,0.00239968004266098,2018-08-31 00:00:00
"75","Beaver","2018-08-31","0:00",787.3156023,-21.8689335,20.54902026,-63.13602501,8.33,26.43,7.94,144,0.00239968004266098,2018-08-31 00:00:00
