"","Time","Temp","DO","Q"
"1",2018-08-27 17:42:00,20.475204,8.059668,1.023552
"2",2018-08-27 17:46:00,13.602303,9.321507,1.009176
"3",2018-08-27 17:51:00,12.034657,9.735695,1.018112
"4",2018-08-27 17:56:00,11.570742,9.823315,1.022148
"5",2018-08-27 18:01:00,11.355641,9.825008,1.0233
"6",2018-08-27 18:06:00,11.193894,9.814574,1.024531
"7",2018-08-27 18:11:00,11.058825,9.778052,1.025756
"8",2018-08-27 18:16:00,10.932527,9.69871,1.02493
"9",2018-08-27 18:21:00,10.815046,9.648451,1.02576
"10",2018-08-27 18:26:00,10.715483,9.607533,1.02664
"11",2018-08-27 18:31:00,10.633916,9.583559,1.026807
"12",2018-08-27 18:36:00,10.570408,9.545097,1.025819
"13",2018-08-27 18:41:00,10.50684,9.569126,1.027671
"14",2018-08-27 18:46:00,10.452306,9.527421,1.02631
"15",2018-08-27 18:51:00,10.388628,9.504874,1.027676
"16",2018-08-27 18:56:00,10.32489,9.443902,1.027422
"17",2018-08-27 19:01:00,10.261091,9.391075,1.027186
"18",2018-08-27 19:06:00,10.215483,9.385165,1.026314
"19",2018-08-27 19:11:00,10.160712,9.337015,1.027637
"20",2018-08-27 19:16:00,10.133309,9.408221,1.030005
"21",2018-08-27 19:21:00,10.096755,9.300124,1.027434
"22",2018-08-27 19:26:00,10.051034,9.347414,1.031989
"23",2018-08-27 19:31:00,9.986971,9.175471,1.027737
"24",2018-08-27 19:36:00,9.950336,9.129433,1.028707
"25",2018-08-27 19:41:00,9.895345,8.987743,1.027604
"26",2018-08-27 19:46:00,9.849483,8.902696,1.027004
"27",2018-08-27 19:51:00,9.794407,8.821788,1.028245
"28",2018-08-27 19:56:00,9.739283,8.78424,1.028811
"29",2018-08-27 20:01:00,9.693311,8.645279,1.028147
"30",2018-08-27 20:06:00,9.638102,8.566988,1.02793
"31",2018-08-27 20:11:00,9.592058,8.479499,1.028087
"32",2018-08-27 20:16:00,9.536761,8.409651,1.028252
"33",2018-08-27 20:21:00,9.481416,8.313575,1.028745
"34",2018-08-27 20:26:00,9.416787,8.215112,1.028158
"35",2018-08-27 20:31:00,9.361338,8.121423,1.02796
"36",2018-08-27 20:36:00,9.30584,8.04182,1.028836
"37",2018-08-27 20:41:00,9.250293,7.96305,1.029013
"38",2018-08-27 20:46:00,9.194698,7.87875,1.029191
"39",2018-08-27 20:51:00,9.139053,7.801669,1.029034
"40",2018-08-27 20:56:00,9.092644,7.716256,1.028555
"41",2018-08-27 21:01:00,9.027614,7.643709,1.029086
"42",2018-08-27 21:06:00,8.97182,7.569023,1.028955
"43",2018-08-27 21:11:00,8.915975,7.50113,1.02951
"44",2018-08-27 21:16:00,8.86008,7.433866,1.029057
"45",2018-08-27 21:21:00,8.804134,7.355354,1.028948
"46",2018-08-27 21:26:00,8.748137,7.307071,1.029516
"47",2018-08-27 21:31:00,8.701433,7.244664,1.029104
"48",2018-08-27 21:36:00,8.654694,7.182788,1.029361
"49",2018-08-27 21:41:00,8.607919,7.127186,1.029291
"50",2018-08-27 21:46:00,8.561108,7.083436,1.029553
"51",2018-08-27 21:51:00,8.514261,7.034276,1.029817
"52",2018-08-27 21:56:00,8.476757,6.982775,1.029448
"53",2018-08-27 22:01:00,8.429845,6.939909,1.029716
"54",2018-08-27 22:06:00,8.382896,6.891731,1.029342
"55",2018-08-27 22:11:00,8.34531,6.85786,1.030271
"56",2018-08-27 22:16:00,8.307701,6.813122,1.029916
"57",2018-08-27 22:21:00,8.260656,6.787737,1.02986
"58",2018-08-27 22:26:00,8.222993,6.765311,1.029818
"59",2018-08-27 22:31:00,8.175882,6.740115,1.030085
"60",2018-08-27 22:36:00,8.138165,6.712415,1.03005
"61",2018-08-27 22:41:00,8.090986,6.687423,1.030318
"62",2018-08-27 22:46:00,8.062661,6.662749,1.030296
"63",2018-08-27 22:51:00,8.024873,6.65152,1.030567
"64",2018-08-27 22:56:00,7.996515,6.637732,1.03022
"65",2018-08-27 23:01:00,7.958685,6.621185,1.030496
"66",2018-08-27 23:06:00,7.930296,6.607464,1.030151
"67",2018-08-27 23:11:00,7.892422,6.60706,1.030412
"68",2018-08-27 23:16:00,7.864001,6.593377,1.030699
"69",2018-08-27 23:21:00,7.835567,6.585065,1.03035
"70",2018-08-27 23:26:00,7.807118,6.571432,1.030323
"71",2018-08-27 23:31:00,7.769165,6.576394,1.030577
"72",2018-08-27 23:36:00,7.740684,6.573452,1.030539
"73",2018-08-27 23:41:00,7.712189,6.570516,1.030186
"74",2018-08-27 23:46:00,7.674174,6.575504,1.030125
"75",2018-08-27 23:51:00,7.645647,6.583261,1.030703
"76",2018-08-27 23:56:00,7.617105,6.580339,1.030665
"77",2018-08-28 00:01:00,7.58855,6.572085,1.030632
"78",2018-08-28 00:06:00,7.55998,6.579856,1.030582
"79",2018-08-28 00:11:00,7.521866,6.584892,1.030834
"80",2018-08-28 00:16:00,7.493263,6.576649,1.030488
"81",2018-08-28 00:21:00,7.464646,6.595149,1.030426
"82",2018-08-28 00:26:00,7.436015,6.597613,1.030694
"83",2018-08-28 00:31:00,7.40737,6.616182,1.030633
"84",2018-08-28 00:36:00,7.37871,6.602561,1.029979
"85",2018-08-28 00:41:00,7.350037,6.615782,1.030236
"86",2018-08-28 00:46:00,7.321348,6.623654,1.030498
"87",2018-08-28 00:51:00,7.292646,6.626158,1.030766
"88",2018-08-28 00:56:00,7.273503,6.631421,1.030733
"89",2018-08-28 01:01:00,7.235197,6.641966,1.030665
"90",2018-08-28 01:06:00,7.216035,6.658052,1.030933
"91",2018-08-28 01:11:00,7.18728,6.660591,1.030888
"92",2018-08-28 01:16:00,7.168101,6.660485,1.030859
"93",2018-08-28 01:21:00,7.139321,6.673864,1.031116
"94",2018-08-28 01:26:00,7.129725,6.665691,1.030797
"95",2018-08-28 01:31:00,7.100926,6.673668,1.031059
"96",2018-08-28 01:36:00,7.081718,6.668156,1.030723
"97",2018-08-28 01:41:00,7.062504,6.673481,1.031314
"98",2018-08-28 01:46:00,7.043283,6.689668,1.031582
"99",2018-08-28 01:51:00,7.033671,6.681481,1.030638
"100",2018-08-28 01:56:00,7.01444,6.681396,1.031234
"101",2018-08-28 02:01:00,6.995203,6.681313,1.030581
"102",2018-08-28 02:06:00,6.97596,6.708413,1.03115
"103",2018-08-28 02:11:00,6.95671,6.692015,1.030512
"104",2018-08-28 02:16:00,6.937453,6.702817,1.030473
"105",2018-08-28 02:21:00,6.927822,6.710949,1.031075
"106",2018-08-28 02:26:00,6.908556,6.721784,1.030723
"107",2018-08-28 02:31:00,6.889283,6.716261,1.030699
"108",2018-08-28 02:36:00,6.870003,6.72711,1.030972
"109",2018-08-28 02:41:00,6.860361,6.72981,1.030643
"110",2018-08-28 02:46:00,6.870003,6.72711,1.030972
"111",2018-08-28 02:51:00,6.879644,6.724412,1.031302
"112",2018-08-28 02:56:00,6.879644,6.708053,1.031005
"113",2018-08-28 03:01:00,6.860361,6.702543,1.030982
"114",2018-08-28 03:06:00,6.860361,6.697102,1.030675
"115",2018-08-28 03:11:00,6.850717,6.705234,1.030964
"116",2018-08-28 03:16:00,6.841071,6.707927,1.030635
"117",2018-08-28 03:21:00,6.831424,6.716073,1.031237
"118",2018-08-28 03:26:00,6.821775,6.718771,1.031219
"119",2018-08-28 03:31:00,6.821775,6.724229,1.031526
"120",2018-08-28 03:36:00,6.821775,6.713317,1.030601
"121",2018-08-28 03:41:00,6.821775,6.718771,1.030596
"122",2018-08-28 03:46:00,6.821775,6.724229,1.031214
"123",2018-08-28 03:51:00,6.821775,6.702422,1.030924
"124",2018-08-28 03:56:00,6.812124,6.716015,1.031208
"125",2018-08-28 04:01:00,6.812124,6.726931,1.031197
"126",2018-08-28 04:06:00,6.812124,6.732395,1.031192
"127",2018-08-28 04:11:00,6.821775,6.740627,1.031823
"128",2018-08-28 04:16:00,6.821775,6.729691,1.030897
"129",2018-08-28 04:21:00,6.831424,6.721529,1.030919
"130",2018-08-28 04:26:00,6.831424,6.721529,1.031231
"131",2018-08-28 04:31:00,6.841071,6.71883,1.030937
"132",2018-08-28 04:36:00,6.841071,6.729749,1.031238
"133",2018-08-28 04:41:00,6.850717,6.727048,1.031568
"134",2018-08-28 04:46:00,6.860361,6.718891,1.030966
"135",2018-08-28 04:51:00,6.860361,6.713438,1.030971
"136",2018-08-28 04:56:00,6.870003,6.716196,1.030983
"137",2018-08-28 05:01:00,6.879644,6.708053,1.031005
"138",2018-08-28 05:06:00,6.879644,6.713502,1.031624
"139",2018-08-28 05:11:00,6.889283,6.71081,1.031329
"140",2018-08-28 05:16:00,6.908556,6.705431,1.031363
"141",2018-08-28 05:21:00,6.89892,6.697234,1.031045
"142",2018-08-28 05:26:00,6.908556,6.689115,1.031379
"143",2018-08-28 05:31:00,6.908556,6.683685,1.031073
"144",2018-08-28 05:36:00,6.908556,6.705431,1.031676
"145",2018-08-28 05:41:00,6.908556,6.699989,1.031369
"146",2018-08-28 05:46:00,6.908556,6.699989,1.031369
"147",2018-08-28 05:51:00,6.908556,6.689115,1.031379
"148",2018-08-28 05:56:00,6.908556,6.710878,1.031983
"149",2018-08-28 06:01:00,6.908556,6.710878,1.031983
"150",2018-08-28 06:06:00,6.908556,6.710878,1.031983
"151",2018-08-28 06:11:00,6.91819,6.697304,1.031698
"152",2018-08-28 06:16:00,6.927822,6.70006,1.031398
"153",2018-08-28 06:21:00,6.927822,6.694621,1.031091
"154",2018-08-28 06:26:00,6.927822,6.689187,1.031408
"155",2018-08-28 06:31:00,6.91819,6.702745,1.031693
"156",2018-08-28 06:36:00,6.91819,6.686435,1.031396
"157",2018-08-28 06:41:00,6.908556,6.689115,1.031067
"158",2018-08-28 06:46:00,6.908556,6.699989,1.031369
"159",2018-08-28 06:51:00,6.91819,6.691868,1.031079
"160",2018-08-28 06:56:00,6.91819,6.697304,1.031386
"161",2018-08-28 07:01:00,6.927822,6.710949,1.031387
"162",2018-08-28 07:06:00,6.927822,6.716399,1.031382
"163",2018-08-28 07:11:00,6.927822,6.743713,1.031357
"164",2018-08-28 07:16:00,6.937453,6.768417,1.03135
"165",2018-08-28 07:21:00,6.937453,6.801437,1.031636
"166",2018-08-28 07:26:00,6.937453,6.823532,1.031305
"167",2018-08-28 07:31:00,6.947082,6.842954,1.031305
"168",2018-08-28 07:36:00,6.947082,6.876308,1.031595
"169",2018-08-28 07:41:00,6.947082,6.898626,1.03158
"170",2018-08-28 07:46:00,6.95671,6.946309,1.031249
"171",2018-08-28 07:51:00,6.95671,6.997092,1.031538
"172",2018-08-28 07:56:00,6.95671,7.036828,1.030882
"173",2018-08-28 08:01:00,6.966336,7.085394,1.031512
"174",2018-08-28 08:06:00,6.97596,7.128509,1.031192
"175",2018-08-28 08:11:00,6.985582,7.195077,1.031508
"176",2018-08-28 08:16:00,6.995203,7.250513,1.030546
"177",2018-08-28 08:21:00,7.004823,7.335884,1.031193
"178",2018-08-28 08:26:00,7.024056,7.413268,1.031547
"179",2018-08-28 08:31:00,7.043283,7.479364,1.030606
"180",2018-08-28 08:36:00,7.043283,7.564207,1.031269
