SampleID,pH,Alk_mgLCaCO3
Beaver_830_0800,7.94,146
Beaver_830_1000,8.11,
Beaver_830_1200,8.25,150
Beaver_830_1400,8.28,152
Beaver_830_1600,8.4,156
Beaver_830_1800,8.36,152
Beaver_830_2000,8.17,
Beaver_830_2200,8.02,
Beaver_831_0000,7.94,144
Beaver_831_0200,7.93,144
Beaver_831_0400,7.94,145
Beaver_831_0600,7.9,145
Blaine_822_0600,8.12,149
Blaine_822_0800,8.12,
Blaine_822_1000,8.18,
Blaine_822_1200,8.37,150
Blaine_822_1400,8.38,
Blaine_822_1600,8.45,155
Blaine_822_1800,8.46,156
Blaine_822_2000,8.4,154
Blaine_822_2200,8.25,155
Blaine_823_0000,8.12,
Blaine_823_0200,8.14,
Blaine_823_0400,8.11,
Blaine_823_0600,8.09,150
OakLolomai_926_0600,8.43,171
OakLolomai_926_0800a,8.39,171
OakLolomai_926_0800b,8.42,172
OakLolomai_926_0800c,8.44,172
OakLolomai_926_1000,8.47,170
OakLolomai_926_1200,8.5,170
OakLolomai_926_1400,8.59,170
OakLolomai_926_1600,8.56,171
OakLolomai_926_1800a,8.54,169
OakLolomai_926_1800b,8.57,169
OakLolomai_926_1800c,8.51,169
OakLolomai_926_2000,8.52,168
OakLolomai_926_2200,8.48,167
OakLolomai_927_0000,8.46,170
OakLolomai_927_0200,8.45,169
OakLolomai_927_0400a,8.45,168
OakLolomai_927_0400b,8.43,170
OakLolomai_927_0400c,8.41,172
OakLolomai_927_0600,8.46,171
OakWillow_927_0800,8.18,205
OakWillow_927_1200a,8.28,203
OakWillow_927_1200b,8.3,202
OakWillow_927_1200c,8.29,204
OakWillow_927_1600,8.25,202
OakWillow_927_2000,8.19,202
OakWillow_928_0000a,8.19,204
OakWillow_928_0000b,8.21,204
OakWillow_928_0000c,8.17,207
OakWillow_928_0400,8.17,204
OakWillow_928_0800,8.18,206
