SampleID,pH,Alk_mgLCaCO3
Beaver_830_0800,7.94,146.00
Beaver_830_1000,8.11,
Beaver_830_1200,8.25,150.00
Beaver_830_1400,8.28,152.00
Beaver_830_1600,8.40,156.00
Beaver_830_1800,8.36,152.00
Beaver_830_2000,8.17,
Beaver_830_2200,8.02,
Beaver_831_0000,7.94,144.00
Beaver_831_0200,7.93,144.00
Beaver_831_0400,7.94,145.00
Beaver_831_0600,7.90,145.00
Blaine_822_0600,8.12,149.00
Blaine_822_0800,8.12,
Blaine_822_1000,8.18,
Blaine_822_1200,8.37,150.00
Blaine_822_1400,8.38,
Blaine_822_1600,8.45,155.00
Blaine_822_1800,8.46,156.00
Blaine_822_2000,8.40,154.00
Blaine_822_2200,8.25,155.00
Blaine_823_0000,8.12,
Blaine_823_0200,8.14,
Blaine_823_0400,8.11,
Blaine_823_0600,8.09,150.00
OakLolomai_926_0600,8.43,171.00
OakLolomai_926_0800,8.42,171.67
OakLolomai_926_1000,8.47,170.00
OakLolomai_926_1200,8.50,170.00
OakLolomai_926_1400,8.59,170.00
OakLolomai_926_1600,8.56,171.00
OakLolomai_926_1800,8.54,169.00
OakLolomai_926_2000,8.52,168.00
OakLolomai_926_2200,8.48,167.00
OakLolomai_927_0000,8.46,170.00
OakLolomai_927_0200,8.45,169.00
OakLolomai_927_0400,8.43,170.00
OakLolomai_927_0600,8.46,171.00
OakWillow_927_0800,8.18,205.00
OakWillow_927_1200,8.29,203.00
OakWillow_927_1600,8.25,202.00
OakWillow_927_2000,8.19,202.00
OakWillow_928_0000,8.19,205.00
OakWillow_928_0400,8.17,204.00
OakWillow_928_0800,8.18,206.00
