"","SampleID","Syringe","ResetTime","H2O_mL","air_mL","DATETIME","samplenum","ENDTIME","CO2","delCO2","CH4","delCH4","pH","WaterTemp_C","Baro_inHg","AirTemp_C","pRH","Syringes"
"1","Blaine_822_0600",96,"2018-08-24 04:07:56",40,70,2018-08-24 04:07:56,62,2018-08-24 04:08:26,833.003211545417,-24.3096850578125,6.627478243225,-56.997836796375,8.04,14.12,26.99,5.9,93.1,"96_97_90"
"2","Blaine_822_0600",97,"2018-08-24 03:51:24",40,70,2018-08-24 03:51:24,55,2018-08-24 03:51:54,879.367244627708,-24.5779545134792,6.68037323104583,-57.01020731875,8.04,14.12,26.99,5.9,93.1,"96_97_90"
"3","Blaine_822_0600",90,"2018-08-24 03:32:24",40,70,2018-08-24 03:32:24,47,2018-08-24 03:32:54,885.342938365208,-24.3850697356667,6.3978825537875,-58.128331118625,8.04,14.12,26.99,5.9,93.1,"96_97_90"
"4","Blaine_822_0800",94,"2018-08-24 03:22:44",40,70,2018-08-24 03:22:44,43,2018-08-24 03:23:14,835.59262627875,-25.0519022107153,6.94451560795417,-57.9586778935,8.07,13.64,26.99,6.1,94.4,"93_94_95"
"5","Blaine_822_0800",93,"2018-08-24 04:15:03",40,70,2018-08-24 04:15:03,65,2018-08-24 04:15:33,850.222625336304,-24.7580234839348,7.17015658690435,-56.7606924832609,8.07,13.64,26.99,6.1,94.4,"93_94_95"
"6","Blaine_822_0800",95,"2018-08-24 04:12:38",40,70,2018-08-24 04:12:38,64,2018-08-24 04:13:08,864.507234586594,-25.0067701869203,6.89810027578696,-58.0534636042174,8.07,13.64,26.99,6.1,94.4,"93_94_95"
"7","Blaine_822_1000",1,"2018-08-24 03:20:18",40,70,2018-08-24 03:20:18,42,2018-08-24 03:20:48,799.723491914565,-23.2903942650725,6.52673073353913,-58.1625272349565,8.15,14.11,26.95,20.8,51,"54_91_1"
"8","Blaine_822_1000",54,"2018-08-24 03:53:44",40,70,2018-08-24 03:53:44,56,2018-08-24 03:54:14,835.734728636458,-23.8242809086667,6.7361247297625,-57.154818002375,8.15,14.11,26.95,20.8,51,"54_91_1"
"9","Blaine_822_1000",91,"2018-08-24 03:49:10",40,70,2018-08-24 03:49:10,54,2018-08-24 03:49:40,783.130370754375,-23.3169538434792,6.79356182655833,-57.5960946120417,8.15,14.11,26.95,20.8,51,"54_91_1"
"10","Blaine_822_1200",13,"2018-08-24 03:10:45",40,70,2018-08-24 03:10:45,38,2018-08-24 03:11:15,739.357258321884,-21.7870762618043,5.93044025277826,-58.313169454087,8.31,16.14,26.92,23.4,47.5,"13_29_22"
"11","Blaine_822_1200",29,"2018-08-24 03:56:11",40,70,2018-08-24 03:56:11,57,2018-08-24 03:56:41,732.242609156957,-21.771189373087,5.50847048080435,-56.3642437858261,8.31,16.14,26.92,23.4,47.5,"13_29_22"
"12","Blaine_822_1200",22,"2018-08-24 04:10:15",40,70,2018-08-24 04:10:15,63,2018-08-24 04:10:45,696.15795610875,-22.0567326293542,5.96082588226667,-57.3529234177917,8.31,16.14,26.92,23.4,47.5,"13_29_22"
"13","Blaine_822_1400",98,"2018-08-24 04:05:39",40,70,2018-08-24 04:05:39,61,2018-08-24 04:06:09,650.320474638542,-21.0237444177708,5.8850763047125,-57.7546587902917,8.41,18.26,26.87,31.9,29.4,"10_98_31"
"14","Blaine_822_1400",10,"2018-08-24 04:01:00",40,70,2018-08-24 04:01:00,59,2018-08-24 04:01:30,743.640843253958,-20.8082294953125,5.75086062594167,-57.2852078764583,8.41,18.26,26.87,31.9,29.4,"10_98_31"
"15","Blaine_822_1400",31,"2018-08-24 03:30:09",40,70,2018-08-24 03:30:09,46,2018-08-24 03:30:39,854.283464768958,-21.2789470080833,5.7087134815875,-58.1170810165833,8.41,18.26,26.87,31.9,29.4,"10_98_31"
"16","Blaine_822_1600",4,"2018-08-24 03:08:20",40,70,2018-08-24 03:08:20,37,2018-08-24 03:08:50,603.497258964792,-19.6398734713333,5.25910387486667,-57.2199255620417,8.47,19.71,26.81,34.2,35,"2_3_4"
"17","Blaine_822_1600",3,"2018-08-24 03:27:32",40,70,2018-08-24 03:27:32,45,2018-08-24 03:28:02,635.906605008841,-20.3057417626522,5.60018466986522,-58.5812768518261,8.47,19.71,26.81,34.2,35,"2_3_4"
"18","Blaine_822_1600",2,"2018-08-24 03:13:04",40,70,2018-08-24 03:13:04,39,2018-08-24 03:13:34,644.536998790625,-20.0657589553125,5.44488568989583,-59.11404061725,8.47,19.71,26.81,34.2,35,"2_3_4"
"19","Blaine_822_1800",5,"2018-08-24 02:31:16",40,70,2018-08-24 02:31:16,23,2018-08-24 02:31:46,599.513190632292,-20.1620896973958,5.221031794625,-57.6662673943333,8.51,19.86,26.77,24.9,53.8,"6_5_17"
"20","Blaine_822_1800",17,"2018-08-24 02:36:10",40,70,2018-08-24 02:36:10,25,2018-08-24 02:36:40,635.980046974275,-20.0785144062174,5.22275863687826,-58.4564408531304,8.51,19.86,26.77,24.9,53.8,"6_5_17"
"21","Blaine_822_1800",6,"2018-08-24 02:33:37",40,70,2018-08-24 02:33:37,24,2018-08-24 02:34:07,650.78176844,-21.0781060084583,5.36457365466667,-57.9064415555,8.51,19.86,26.77,24.9,53.8,"6_5_17"
"22","Blaine_822_2000",24,"2018-08-24 01:59:09",40,70,2018-08-24 01:59:09,13,2018-08-24 01:59:39,578.336008168542,-21.4679827346042,5.5530657790625,-58.40584709875,8.49,18.86,26.75,18.8,71.4,"14_92_24"
