Syringe,ResetTime,H2O_mL,air_mL,SampleID
NA,2018-08-24 01:20:41,0,70,Std_Tank2
NA,2018-08-24 01:25:46,0,70,Std_Tank2
NA,2018-08-24 01:28:48,0,70,Std_Tank2
NA,2018-08-24 01:32:06,0,70,Std_ZeroAir
NA,2018-08-24 01:38:02,0,70,Std_Tank2
NA,2018-08-24 01:40:45,0,70,Std_Tank2
NA,2018-08-24 01:43:25,0,70,Std_Tank2
NA,2018-08-24 01:46:31,0,70,Std_Tank2
9,2018-08-24 01:49:14,40,70,Blaine_823_0000
28,2018-08-24 01:51:42,40,70,Blaine_823_0600
52,2018-08-24 01:54:12,40,70,Blaine_823_0000
37,2018-08-24 01:56:36,40,70,Blaine_823_0400
24,2018-08-24 01:59:09,40,70,Blaine_822_2000
12,2018-08-24 02:01:38,40,70,Blaine_823_0400
NA,2018-08-24 02:04:12,0,70,Std_Tank2
NA,2018-08-24 02:06:50,0,70,Std_Tank2
NA,2018-08-24 02:09:30,0,70,Std_Tank2
NA,2018-08-24 02:17:31,0,70,Std_Tank1
NA,2018-08-24 02:20:31,0,70,Std_Tank1
NA,2018-08-24 02:23:34,0,70,Std_Tank1
30,2018-08-24 02:26:04,40,70,Blaine_822_2200
51,2018-08-24 02:28:23,40,70,Blaine_823_0200
5,2018-08-24 02:31:16,40,70,Blaine_822_1800
6,2018-08-24 02:33:37,40,70,Blaine_822_1800
17,2018-08-24 02:36:10,40,70,Blaine_822_1800
38,2018-08-24 02:38:34,40,70,Blaine_822_2200
34,2018-08-24 02:40:00,40,70,Blaine_NoClearSignal
36,2018-08-24 02:45:55,40,70,Blaine_823_0200
56,2018-08-24 02:48:42,40,70,Blaine_823_0400
35,2018-08-24 02:50:55,40,70,Blaine_823_0600
NA,2018-08-24 02:53:29,0,70,Std_Tank2
NA,2018-08-24 02:55:52,0,70,Std_Tank2
NA,2018-08-24 02:58:12,0,70,Std_Tank2
NA,2018-08-24 03:00:54,0,70,Std_Tank1
NA,2018-08-24 03:03:13,0,70,Std_Tank1
NA,2018-08-24 03:05:22,0,70,Std_Tank1
4,2018-08-24 03:08:20,40,70,Blaine_822_1600
13,2018-08-24 03:10:45,40,70,Blaine_822_1200
2,2018-08-24 03:13:04,40,70,Blaine_822_1600
7,2018-08-24 03:15:36,40,70,Blaine_823_0000
92,2018-08-24 03:18:03,40,70,Blaine_822_2000
1,2018-08-24 03:20:18,40,70,Blaine_822_1000
94,2018-08-24 03:22:44,40,70,Blaine_822_0800
14,2018-08-24 03:25:06,40,70,Blaine_822_2000
3,2018-08-24 03:27:32,40,70,Blaine_822_1600
31,2018-08-24 03:30:09,40,70,Blaine_822_1400
90,2018-08-24 03:32:24,40,70,Blaine_822_0600
NA,2018-08-24 03:34:46,0,70,Std_Tank2
NA,2018-08-24 03:37:06,0,70,Std_Tank2
NA,2018-08-24 03:39:44,0,70,Std_Tank2
NA,2018-08-24 03:42:15,0,70,Std_Tank1
NA,2018-08-24 03:44:23,0,70,Std_Tank1
NA,2018-08-24 03:46:43,0,70,Std_Tank1
91,2018-08-24 03:49:10,40,70,Blaine_822_1000
97,2018-08-24 03:51:24,40,70,Blaine_822_0600
54,2018-08-24 03:53:44,40,70,Blaine_822_1000
29,2018-08-24 03:56:11,40,70,Blaine_822_1200
39,2018-08-24 03:58:39,40,70,Blaine_823_0200
10,2018-08-24 04:01:00,40,70,Blaine_822_1400
53,2018-08-24 04:03:20,40,70,Blaine_822_2200
98,2018-08-24 04:05:39,40,70,Blaine_822_1400
96,2018-08-24 04:07:56,40,70,Blaine_822_0600
22,2018-08-24 04:10:15,40,70,Blaine_822_1200
95,2018-08-24 04:12:38,40,70,Blaine_822_0800
93,2018-08-24 04:15:03,40,70,Blaine_822_0800
NA,2018-08-24 04:17:27,0,70,Std_Tank2
NA,2018-08-24 04:19:52,0,70,Std_Tank2
NA,2018-08-24 04:22:11,0,70,Std_Tank2
NA,2018-08-24 04:25:00,0,70,Std_Tank1
NA,2018-08-24 04:27:35,0,70,Std_Tank1
NA,2018-08-24 04:29:45,0,70,Std_Tank1

