SampleID,pH,WaterTemp_C,Baro_inHg,AirTemp_C,pRH,Syringes
Blaine_822_0600,8.04,14.12,26.99,5.9,93.1,96_97_90
Blaine_822_0800,8.07,13.64,26.99,6.1,94.4,93_94_95
Blaine_822_1000,8.15,14.11,26.95,20.8,51.0,54_91_1
Blaine_822_1200,8.31,16.14,26.92,23.4,47.5,13_29_22
Blaine_822_1400,8.41,18.26,26.87,31.9,29.4,10_98_31
Blaine_822_1600,8.47,19.71,26.81,34.2,35.0,2_3_4
Blaine_822_1800,8.51,19.86,26.77,24.9,53.8,6_5_17
Blaine_822_2000,8.49,18.86,26.75,18.8,71.4,14_92_24
Blaine_822_2200,8.30,17.48,26.76,10.5,92.3,30_38_53
Blaine_823_0000,8.10,16.35,26.78,8.3,93.8,7_9_52
Blaine_823_0200,8.11,15.63,26.78,8.7,92.4,39_36_51
Blaine_823_0400,8.10,15.01,26.80,5.0,94.0,37_12_56
Blaine_823_0600,8.10,14.52,26.81,3.9,95.1,35_34_28
