Syringe,ResetTime,H2O_mL,air_mL,SampleID
NA,2018-08-31 18:43:00,0,70,Std_ZeroAir
NA,2018-08-31 18:45:40,0,70,Std_ZeroAir
NA,2018-08-31 18:48:01,0,70,Std_ZeroAir
NA,2018-08-31 18:50:27,0,70,Std_Tank2
NA,2018-08-31 18:52:50,0,70,Std_Tank2
NA,2018-08-31 18:55:03,0,70,Std_Tank2
NA,2018-08-31 18:59:42,0,70,Std_Tank1
NA,2018-08-31 19:02:44,0,70,Std_Tank1
NA,2018-08-31 19:05:00,0,70,Std_Tank1
30,2018-08-31 19:07:20,40,70,Beaver_831_0400
2,2018-08-31 19:09:51,40,70,Beaver_831_0600
36,2018-08-31 19:12:20,40,70,Beaver_831_0400
38,2018-08-31 19:15:00,40,70,Beaver_830_2000
31,2018-08-31 19:17:26,40,70,Beaver_831_0000
28,2018-08-31 19:19:52,40,70,Beaver_830_2000
97,2018-08-31 19:22:16,40,70,Beaver_831_0000
4,2018-08-31 19:24:50,40,70,Beaver_830_2000
37,2018-08-31 19:27:14,40,70,Beaver_830_1800
54,2018-08-31 19:29:40,40,70,Beaver_830_1400
9,2018-08-31 19:31:59,40,70,Beaver_831_0400
29,2018-08-31 19:34:33,40,70,Beaver_830_1400
10,2018-08-31 19:37:08,40,70,Beaver_831_0200
NA,2018-08-31 19:39:37,0,70,Std_Tank2
NA,2018-08-31 19:42:01,0,70,Std_Tank2
NA,2018-08-31 19:44:25,0,70,Std_Tank2
NA,2018-08-31 19:47:14,0,70,Std_Tank1
NA,2018-08-31 19:49:34,0,70,Std_Tank1
NA,2018-08-31 19:51:53,0,70,Std_Tank1
95,2018-08-31 19:54:09,40,70,Beaver_830_1000
6,2018-08-31 19:56:43,40,70,Beaver_830_1800
3,2018-08-31 19:59:05,40,70,Beaver_830_1000
53,2018-08-31 20:01:24,40,70,Beaver_830_1000
94,2018-08-31 20:04:20,40,70,Beaver_830_1400
35,2018-08-31 20:06:44,40,70,Beaver_830_1800
93,2018-08-31 20:09:04,40,70,Beaver_830_2200
12,2018-08-31 20:11:49,40,70,Beaver_831_0200
90,2018-08-31 20:14:14,40,70,Beaver_831_0000
5,2018-08-31 20:16:46,40,70,Beaver_830_2200
14,2018-08-31 20:19:21,40,70,Beaver_830_2200
7,2018-08-31 20:21:46,40,70,Beaver_831_0200
27,2018-08-31 20:24:20,40,70,Beaver_831_0600
NA,2018-08-31 20:26:46,0,70,Std_Tank2
NA,2018-08-31 20:29:22,0,70,Std_Tank2
NA,2018-08-31 20:32:03,0,70,Std_Tank2
NA,2018-08-31 20:34:31,0,70,Std_Tank1
NA,2018-08-31 20:36:42,0,70,Std_Tank1
NA,2018-08-31 20:39:21,0,70,Std_Tank1
34,2018-08-31 20:42:46,40,70,Beaver_830_0600
26,2018-08-31 20:45:21,40,70,Beaver_830_0600
52,2018-08-31 20:47:37,40,70,Beaver_830_0800
32,2018-08-31 20:49:58,40,70,Beaver_830_0800
33,2018-08-31 20:52:30,40,70,Beaver_830_0800
91,2018-08-31 20:54:53,40,70,Beaver_830_1200
1,2018-08-31 20:57:13,40,70,Beaver_831_0600
39,2018-08-31 20:59:17,40,70,Beaver_830_1200
51,2018-08-31 21:01:44,40,70,Beaver_830_1200
98,2018-08-31 21:04:01,40,70,Beaver_830_1600
56,2018-08-31 21:06:26,40,70,Beaver_830_1600
24,2018-08-31 21:08:51,40,70,Beaver_830_1600
13,2018-08-31 21:11:08,40,70,Beaver_830_0600
NA,2018-08-31 21:13:48,0,70,Std_Tank2
NA,2018-08-31 21:16:15,0,70,Std_Tank2
NA,2018-08-31 21:18:34,0,70,Std_Tank2
NA,2018-08-31 21:21:05,0,70,Std_Tank1
NA,2018-08-31 21:23:28,0,70,Std_Tank1
NA,2018-08-31 21:26:16,0,70,Std_Tank1
