SampleID,WaterTemp_C,Baro_inHg,AirTemp_C,pRH,Syringes
Beaver_830_0600,7.68,26.34,9.1,85.2,13_34_26
Beaver_830_0800,7.76,26.36,10.6,93.4,52_33_32
Beaver_830_1000,8.69,26.37,20.7,43.8,53_95_3
Beaver_830_1200,10.77,26.36,32.0,21.6,91_51_39
Beaver_830_1400,12.93,26.36,37.0,23.6,54_94_29
Beaver_830_1600,14.16,26.36,38.4,21.6,98_56_24
Beaver_830_1800,12.77,26.35,19.1,61.3,37_35_6
Beaver_830_2000,10.17,26.37,12.4,90.6,28_38_4
Beaver_830_2200,9.13,26.41,9.3,93.2,93_5_14
Beaver_831_0000,8.33,26.43,6.9,93.9,97_90_31
Beaver_831_0200,7.88,26.45,6.5,94.5,12_7_10
Beaver_831_0400,7.62,26.46,5.5,94.0,30_36_9
Beaver_831_0600,7.67,26.45,7.9,95.0,27_2_1
