"","SampleID","Syringe","ResetTime","H2O_mL","air_mL","DATETIME","samplenum","ENDTIME","CO2","delCO2","CH4","delCH4","WaterTemp_C","Baro_inHg","AirTemp_C","pRH","Syringes"
"1","Beaver_830_0600",34,"2018-08-31 20:42:46",40,70,2018-08-31 20:42:46,48,2018-08-31 20:43:16,784.336542735208,-21.6839019383125,16.5987540112917,-63.090624761,7.68,26.34,9.1,85.2,"13_34_26"
"2","Beaver_830_0600",26,"2018-08-31 20:45:21",40,70,2018-08-31 20:45:21,49,2018-08-31 20:45:51,761.84712311125,-22.3570445414792,15.8432522471667,-63.3218735097083,7.68,26.34,9.1,85.2,"13_34_26"
"3","Beaver_830_0600",13,"2018-08-31 21:11:08",40,70,2018-08-31 21:11:08,60,2018-08-31 21:11:38,880.280700771014,-20.9628664674275,17.8917024898261,-63.1835068894348,7.68,26.34,9.1,85.2,"13_34_26"
"4","Beaver_830_0800",32,"2018-08-31 20:49:58",40,70,2018-08-31 20:49:58,51,2018-08-31 20:50:28,738.731312422083,-22.0443332427083,14.756530264625,-63.081352177125,7.76,26.36,10.6,93.4,"52_33_32"
"5","Beaver_830_0800",52,"2018-08-31 20:47:37",40,70,2018-08-31 20:47:37,50,2018-08-31 20:48:07,763.142776879783,-21.9712468200435,15.572425247,-63.3045799364783,7.76,26.36,10.6,93.4,"52_33_32"
"6","Beaver_830_0800",33,"2018-08-31 20:52:30",40,70,2018-08-31 20:52:30,52,2018-08-31 20:53:00,757.7151861502,-22.3810786396,15.05655299392,-63.5332398418,7.76,26.36,10.6,93.4,"52_33_32"
"7","Beaver_830_1000",3,"2018-08-31 19:59:05",40,70,2018-08-31 19:59:05,31,2018-08-31 19:59:35,564.405456018623,-22.5279196866594,12.8054249961304,-63.0665280339565,8.69,26.37,20.7,43.8,"53_95_3"
"8","Beaver_830_1000",53,"2018-08-31 20:01:24",40,70,2018-08-31 20:01:24,32,2018-08-31 20:01:54,574.507460742917,-22.512814652,12.9472266003333,-63.4420664935833,8.69,26.37,20.7,43.8,"53_95_3"
"9","Beaver_830_1000",95,"2018-08-31 19:54:09",40,70,2018-08-31 19:54:09,29,2018-08-31 19:54:39,578.36154067875,-21.7421532505625,13.6017254897083,-62.931977905,8.69,26.37,20.7,43.8,"53_95_3"
"10","Beaver_830_1200",91,"2018-08-31 20:54:53",40,70,2018-08-31 20:54:53,53,2018-08-31 20:55:23,520.428650473333,-22.6784974750625,12.8739982463333,-63.2653840232083,10.77,26.36,32,21.6,"91_51_39"
"11","Beaver_830_1200",39,"2018-08-31 20:59:17",40,70,2018-08-31 20:59:17,55,2018-08-31 20:59:47,496.118078471875,-22.1746688287917,11.8228703265,-63.003094479,10.77,26.36,32,21.6,"91_51_39"
"12","Beaver_830_1200",51,"2018-08-31 21:01:44",40,70,2018-08-31 21:01:44,56,2018-08-31 21:02:14,503.063654006875,-22.2212759610833,11.9378209013333,-63.343452596125,10.77,26.36,32,21.6,"91_51_39"
"13","Beaver_830_1400",54,"2018-08-31 19:29:40",40,70,2018-08-31 19:29:40,19,2018-08-31 19:30:10,487.32167902529,-20.7428168309783,11.5328231911304,-63.021821861913,12.93,26.36,37,23.6,"54_94_29"
"14","Beaver_830_1400",29,"2018-08-31 19:34:33",40,70,2018-08-31 19:34:33,21,2018-08-31 19:35:03,455.87239062125,-20.8529524072292,11.2090667216667,-62.4829261491667,12.93,26.36,37,23.6,"54_94_29"
"15","Beaver_830_1400",94,"2018-08-31 20:04:20",40,70,2018-08-31 20:04:20,33,2018-08-31 20:04:50,471.459427625208,-20.954387724375,11.399243593625,-62.847564008375,12.93,26.36,37,23.6,"54_94_29"
"16","Beaver_830_1600",98,"2018-08-31 21:04:01",40,70,2018-08-31 21:04:01,57,2018-08-31 21:04:31,411.983631495,-20.6142978844375,11.4955489065417,-62.6734542555417,14.16,26.36,38.4,21.6,"98_56_24"
"17","Beaver_830_1600",56,"2018-08-31 21:06:26",40,70,2018-08-31 21:06:26,58,2018-08-31 21:06:56,405.115617881458,-20.7243516425833,11.1501989877917,-62.46305989525,14.16,26.36,38.4,21.6,"98_56_24"
"18","Beaver_830_1600",24,"2018-08-31 21:08:51",40,70,2018-08-31 21:08:51,59,2018-08-31 21:09:21,421.987955459375,-20.7638852059583,11.24111332425,-62.4542305010833,14.16,26.36,38.4,21.6,"98_56_24"
"19","Beaver_830_1800",37,"2018-08-31 19:27:14",40,70,2018-08-31 19:27:14,18,2018-08-31 19:27:44,385.744819172917,-22.7978664324375,10.5665472304583,-62.6515080959167,12.77,26.35,19.1,61.3,"37_35_6"
"20","Beaver_830_1800",6,"2018-08-31 19:56:43",40,70,2018-08-31 19:56:43,30,2018-08-31 19:57:13,404.056689556667,-21.8489986732917,10.50040424225,-62.648360542,12.77,26.35,19.1,61.3,"37_35_6"
"21","Beaver_830_1800",35,"2018-08-31 20:06:44",40,70,2018-08-31 20:06:44,34,2018-08-31 20:07:14,389.985228484583,-22.0437945306042,10.88469078,-62.138003236375,12.77,26.35,19.1,61.3,"37_35_6"
"22","Beaver_830_2000",38,"2018-08-31 19:15:00",40,70,2018-08-31 19:15:00,13,2018-08-31 19:15:30,516.763290722246,-22.2700560856667,14.3038225247826,-62.8308330597391,10.17,26.37,12.4,90.6,"28_38_4"
"23","Beaver_830_2000",28,"2018-08-31 19:19:52",40,70,2018-08-31 19:19:52,15,2018-08-31 19:20:22,513.874596073125,-22.764134046375,14.34974228275,-62.2373287105,10.17,26.37,12.4,90.6,"28_38_4"
"24","Beaver_830_2000",4,"2018-08-31 19:24:50",40,70,2018-08-31 19:24:50,17,2018-08-31 19:25:20,512.448458667083,-22.7821731588542,13.8982831705,-62.4309491050833,10.17,26.37,12.4,90.6,"28_38_4"
"25","Beaver_830_2200",5,"2018-08-31 20:16:46",40,70,2018-08-31 20:16:46,38,2018-08-31 20:17:16,670.144882345833,-22.2893201710208,17.847316337875,-62.655944971125,9.13,26.41,9.3,93.2,"93_5_14"
"26","Beaver_830_2200",14,"2018-08-31 20:19:21",40,70,2018-08-31 20:19:21,39,2018-08-31 20:19:51,662.100653863333,-22.3114578299375,17.3951381185417,-62.757446532375,9.13,26.41,9.3,93.2,"93_5_14"
"27","Beaver_830_2200",93,"2018-08-31 20:09:04",40,70,2018-08-31 20:09:04,35,2018-08-31 20:09:34,686.682730929931,-22.4826164381944,18.8221329053333,-62.6646276594583,9.13,26.41,9.3,93.2,"93_5_14"
"28","Beaver_831_0000",31,"2018-08-31 19:17:26",40,70,2018-08-31 19:17:26,14,2018-08-31 19:17:56,786.696086113696,-21.7856458937319,20.5341271733913,-63.1580437232609,8.33,26.43,6.9,93.9,"97_90_31"
"29","Beaver_831_0000",97,"2018-08-31 19:22:16",40,70,2018-08-31 19:22:16,16,2018-08-31 19:22:46,742.522214470833,-21.8668164721875,19.6784812804583,-63.0552376387917,8.33,26.43,6.9,93.9,"97_90_31"
"30","Beaver_831_0000",90,"2018-08-31 20:14:14",40,70,2018-08-31 20:14:14,37,2018-08-31 20:14:44,754.976853019583,-21.9468716716458,20.60738595025,-63.3490596165,8.33,26.43,6.9,93.9,"97_90_31"
"31","Beaver_831_0200",12,"2018-08-31 20:11:49",40,70,2018-08-31 20:11:49,36,2018-08-31 20:12:19,747.952510873542,-21.9441433221458,17.463605684,-62.934281820625,7.88,26.45,6.5,94.5,"12_7_10"
"32","Beaver_831_0200",7,"2018-08-31 20:21:46",40,70,2018-08-31 20:21:46,40,2018-08-31 20:22:16,742.1411106022,-22.00746466072,17.47932943144,-63.0136598434,7.88,26.45,6.5,94.5,"12_7_10"
"33","Beaver_831_0200",10,"2018-08-31 19:37:08",40,70,2018-08-31 19:37:08,22,2018-08-31 19:37:38,771.792855397708,-21.7111392636042,18.2613824535833,-63.33415392325,7.88,26.45,6.5,94.5,"12_7_10"
"34","Beaver_831_0400",30,"2018-08-31 19:07:20",40,70,2018-08-31 19:07:20,10,2018-08-31 19:07:50,757.36393141125,-22.03325601075,18.141503045125,-63.476004291,7.62,26.46,5.5,94,"30_36_9"
"35","Beaver_831_0400",36,"2018-08-31 19:12:20",40,70,2018-08-31 19:12:20,12,2018-08-31 19:12:50,752.958442162464,-22.0970562432899,17.573495733087,-63.4501213733043,7.62,26.46,5.5,94,"30_36_9"
"36","Beaver_831_0400",9,"2018-08-31 19:31:59",40,70,2018-08-31 19:31:59,20,2018-08-31 19:32:29,770.599946794783,-22.0577737476087,18.4424943941739,-63.3300891177826,7.62,26.46,5.5,94,"30_36_9"
"37","Beaver_831_0600",2,"2018-08-31 19:09:51",40,70,2018-08-31 19:09:51,11,2018-08-31 19:10:21,799.825115632174,-21.7778995362899,17.0845108043043,-63.5198034353478,7.67,26.45,7.9,95,"27_2_1"
"38","Beaver_831_0600",27,"2018-08-31 20:24:20",40,70,2018-08-31 20:24:20,41,2018-08-31 20:24:50,783.024033700833,-22.1031966815625,17.33299656375,-63.2408161530833,7.67,26.45,7.9,95,"27_2_1"
"39","Beaver_831_0600",1,"2018-08-31 20:57:13",40,70,2018-08-31 20:57:13,54,2018-08-31 20:57:43,787.8818783125,-21.9782094819167,17.111779701125,-63.528499119375,7.67,26.45,7.9,95,"27_2_1"
