Syringe,ResetTime,H2O_mL,air_mL,SampleID
NA,2018-09-28 20:20:13,0,70,Std_Tank1_A
NA,2018-09-28 20:23:20,0,70,Std_Tank1_A
NA,2018-09-28 20:26:20,0,70,Std_Tank1_A
NA,2018-09-28 20:29:06,0,70,Std_Tank2
NA,2018-09-28 20:31:56,0,70,Std_Tank2
NA,2018-09-28 20:34:38,0,70,Std_Tank2
124,2018-09-28 20:37:33,40,70,OakLolomai_928_0400
123,2018-09-28 20:39:45,40,70,Oak
37,2018-09-28 20:42:24,40,70,Oak
91,2018-09-28 20:44:50,40,70,Oak
130,2018-09-28 20:57:06,40,70,Oak
126,2018-09-28 20:59:35,40,70,Oak
129,2018-09-28 21:02:01,40,70,Oak
121,2018-09-28 21:04:27,40,70,Oak
122,2018-09-28 21:07:11,40,70,Oak
24,2018-09-28 21:09:34,40,70,Oak
2,2018-09-28 21:12:05,40,70,OakLolomai_926_0800
9,2018-09-28 21:14:28,40,70,OakLolomai_926_1000
90,2018-09-28 21:17:23,40,70,OakLolomai_926_1000
128,2018-09-28 21:19:58,40,70,Oak
NA,2018-09-28 21:22:29,0,70,Std_Tank1_A
NA,2018-09-28 21:26:00,0,70,Std_Tank1_A
NA,2018-09-28 21:30:30,0,70,Std_Tank1_A
NA,2018-09-28 21:32:59,0,70,Std_Tank2
NA,2018-09-28 21:35:24,0,70,Std_Tank2
NA,2018-09-28 21:37:41,0,70,Std_Tank2
4,2018-09-28 21:40:06,40,70,Oak_
135,2018-09-28 21:42:28,40,70,Oak_
134,2018-09-28 21:44:52,40,70,Oak_
120,2018-09-28 21:47:32,40,70,Oak_
127,2018-09-28 21:50:01,40,70,Oak_
132,2018-09-28 21:52:36,40,70,Oak_
3,2018-09-28 21:55:00,40,70,Oak_
38,2018-09-28 21:57:33,40,70,OakLolomai_926_1000
131,2018-09-28 21:59:56,40,70,Oak_
14,2018-09-28 22:02:22,40,70,Oak_
5,2018-09-28 22:05:18,40,70,OakLolomai_926_0600
31,2018-09-28 22:07:39,40,70,OakLolomai_926_0600
27,2018-09-28 22:10:10,40,70,OakLolomai_926_1200
12,2018-09-28 22:12:52,40,70,Oak_
125,2018-09-28 22:15:17,40,70,Oak_
39,2018-09-28 22:17:59,40,70,Oak_
92,2018-09-28 22:20:29,40,70,Oak_
NA,2018-09-28 22:22:59,0,70,Std_Tank1_A
NA,2018-09-28 22:25:24,0,70,Std_Tank1_A
NA,2018-09-28 22:27:55,0,70,Std_Tank1_A
NA,2018-09-28 22:30:21,0,70,Std_Tank2
NA,2018-09-28 22:32:50,0,70,Std_Tank2
NA,2018-09-28 22:35:17,0,70,Std_Tank2
28,2018-09-28 22:38:20,40,70,OakLolomai_926_0600
95,2018-09-28 22:44:20,40,70,OakLolomai_
33,2018-09-28 23:21:54,40,70,OakWillow_
53,2018-09-28 23:24:21,40,70,OakLolomai_
1,2018-09-28 23:26:53,40,70,OakLolomai_
6,2018-09-28 23:29:23,40,70,OakLolomai_
13,2018-09-28 23:31:39,40,70,OakLolomai_
32,2018-09-28 23:34:11,40,70,Oak_
97,2018-09-28 23:36:23,40,70,OakLolomai_
36,2018-09-28 23:39:00,40,70,OakLolomai_926_1200
30,2018-09-28 23:41:21,40,70,OakLolomai_
98,2018-09-28 23:43:29,40,70,OakLolomai_926_0800
94,2018-09-28 23:45:45,40,70,OakLolomai_
55,2018-09-28 23:48:06,40,70,OakLolomai_
NA,2018-09-28 23:50:37,0,70,Std_Tank1_A
NA,2018-09-28 23:52:40,0,70,Std_Tank1_A
NA,2018-09-28 23:54:46,0,70,Std_Tank1_A
NA,2018-09-28 23:57:19,0,70,Std_Tank2
NA,2018-09-28 23:59:29,0,70,Std_Tank2
NA,2018-09-29 00:01:34,0,70,Std_Tank2
17,2018-09-29 00:03:47,40,70,OakLolomai_
133,2018-09-29 00:06:01,40,70,OakWillow_
29,2018-09-29 00:08:38,40,70,OakLolomai_
34,2018-09-29 00:10:52,40,70,OakLolomai_
35,2018-09-29 00:13:07,40,70,OakLolomai_
10,2018-09-29 00:15:42,40,70,OakLolomai_926_1200
54,2018-09-29 00:17:58,40,70,OakLolomai_
7,2018-09-29 00:20:28,40,70,OakLolomai_
22,2018-09-29 00:23:00,40,70,OakLolomai_
52,2018-09-29 00:25:21,40,70,OakLolomai_927_0000
51,2018-09-29 00:27:38,40,70,OakLolomai_926_2200
26,2018-09-29 00:30:23,40,70,OakLolomai_927_0200
NA,2018-09-29 00:32:37,0,70,Std_Tank1_A
NA,2018-09-29 00:34:53,0,70,Std_Tank2
