SampleID,WaterTemp_C,Baro_inHg,AirTemp_C,pRH,Syringes
OakLolomai_926_0600,19.87,26.42,14.2,83.2,28_31_5
OakLolomai_926_0800,19.60,26.44,15.3,81.4,98_96_2
OakLolomai_926_1000,20.09,26.44,29.7,37.4,90_38_9
OakLolomai_926_1200,27.29,26.40,24.3,40.3,10_36_27
OakLolomai_926_1400,22.00,26.34,33.7,20.2,55_92_35
OakLolomai_926_1600,22.01,26.31,28.9,40.6,97_22_30
OakLolomai_926_1800,21.78,26.31,22.7,56.0,54_34_12
OakLolomai_926_2000,21.37,26.34,16.7,65.7,7_94_29
OakLolomai_926_2200,20.87,26.37,15.4,64.2,6_51_53
OakLolomai_927_0000,20.51,26.38,14.5,63.8,91_4_52
OakLolomai_927_0200,20.18,26.39,13.6,60.0,26_17_13
OakLolomai_927_0400,19.70,26.39,11.6,68.4,37_56_24
OakLolomai_927_0600,19.18,26.42,9.3,65.9,1_95_93
OakWillow_927_0800,17.74,26.54,14.1,64.7,32_39_33
OakWillow_927_1200,19.68,26.48,31.2,46.3,14_3_120
OakWillow_927_1600,20.85,26.36,25.0,63.9,133_134_135
OakWillow_927_2000,20.83,26.39,17.5,65.3,131_132_130
OakWillow_928_0000,20.70,26.44,12.6,89.6,128_129_125
OakWillow_928_0400,18.72,26.47,9.3,90.7,124_127_126
OakWillow_928_0800,17.71,26.51,14.1,71.4,121_122_123
