"","Syringe","ResetTime","H2O_mL","air_mL","CO2","delCO2","CH4","delCH4","SampleID","WaterTemp_C","Baro_inHg","AirTemp_C","pRH"
"1",1,"2018-09-28 23:26:53",40,70,501.945716744074,-21.2833489362222,7.9199097898,-55.4862502818889,"OakLolomai_927_0600",19.18,26.42,9.3,65.9
"2",6,"2018-09-28 23:29:23",40,70,550.319352850357,-19.7494992866964,7.156138619,-55.6613991906071,"OakLolomai_926_2200",20.87,26.37,15.4,64.2
"3",7,"2018-09-29 00:20:28",40,70,485.039889903214,-19.4967510498393,7.45981979243929,-55.7401992503929,"OakLolomai_926_2000",21.37,26.34,16.7,65.7
"4",10,"2018-09-29 00:15:42",40,70,706.081556416786,-17.5457863923929,7.21930859296786,-55.5591994468929,"OakLolomai_926_1200",27.29,26.4,24.3,40.3
"5",14,"2018-09-28 22:02:22",40,70,1144.19882659074,-16.7541310874444,10.2420351185185,-56.4779657814074,"OakWillow_927_1200",19.68,26.48,31.2,46.3
"6",26,"2018-09-29 00:30:23",40,70,494.56562213375,-21.0254985745179,7.63474425527143,-55.6979521555,"OakLolomai_927_0200",20.18,26.39,13.6,60
"7",32,"2018-09-28 23:34:11",40,70,1059.52275752407,-19.6191737212037,11.5131255695556,-56.7050521743333,"OakWillow_927_0800",17.74,26.54,14.1,64.7
"8",37,"2018-09-28 20:42:24",40,70,497.194310108393,-21.7030288985,8.33629716501786,-55.4699761480714,"OakLolomai_927_0400",19.7,26.39,11.6,68.4
"9",54,"2018-09-29 00:17:58",40,70,518.841357218793,-18.7555561062241,5.76380047673448,-56.1789480251379,"OakLolomai_926_1800",21.78,26.31,22.7,56
"10",55,"2018-09-28 23:48:06",40,70,650.458694128214,-17.7369840376786,6.103818258225,-54.9533084702143,"OakLolomai_926_1400",22,26.34,33.7,20.2
"11",90,"2018-09-28 21:17:23",40,70,736.086462969136,-19.6686107563519,9.98359132630741,-56.0433649932963,"OakLolomai_926_1000",20.09,26.44,29.7,37.4
"12",97,"2018-09-28 23:36:23",40,70,554.97808285375,-18.9520943958571,5.75183839955714,-54.7945272086429,"OakLolomai_926_1600",22.01,26.31,28.9,40.6
"13",98,"2018-09-28 23:43:29",40,70,614.883752053333,-20.5841542039815,8.6588602865963,-55.9507319270741,"OakLolomai_926_0800",19.6,26.44,15.3,81.4
"14",121,"2018-09-28 21:04:27",40,70,1155.79615388036,-19.3852682503214,12.7565133258214,-56.3200527472143,"OakWillow_928_0800",17.71,26.51,14.1,71.4
"15",124,"2018-09-28 20:37:33",40,70,1027.02517575309,-21.1845599691543,11.9909867221852,-56.0019250703333,"OakWillow_928_0400",18.72,26.47,9.3,90.7
"16",128,"2018-09-28 21:19:58",40,70,1020.56604971667,-20.4286724657222,11.8664661149259,-55.8329483332222,"OakWillow_928_0000",20.7,26.44,12.6,89.6
"17",131,"2018-09-28 21:59:56",40,70,1037.49924295741,-18.7617246972963,12.294467900037,-56.0472812807778,"OakWillow_927_2000",20.83,26.39,17.5,65.3
"18",133,"2018-09-29 00:06:01",40,70,1083.74280504012,-16.813620738,11.2963058591852,-56.2702687147037,"OakWillow_927_1600",20.85,26.36,25,63.9
"19",3,"2018-09-28 21:55:00",40,70,1180.61060893929,-16.7049076266429,10.9866053476071,-56.8089888916429,"OakWillow_927_1200",19.68,26.48,31.2,46.3
"20",4,"2018-09-28 21:40:06",40,70,515.316633769464,-20.4877242345357,7.76642100644643,-56.0769780484643,"OakLolomai_927_0000",20.51,26.38,14.5,63.8
"21",17,"2018-09-29 00:03:47",40,70,540.289413166964,-20.8876588661429,8.37564998461786,-55.8184247545357,"OakLolomai_927_0200",20.18,26.39,13.6,60
"22",22,"2018-09-29 00:23:00",40,70,543.394489633519,-18.2364347332222,5.78069046225185,-55.9419147507778,"OakLolomai_926_1600",22.01,26.31,28.9,40.6
"23",31,"2018-09-28 22:07:39",40,70,606.146287116429,-21.3873566780357,8.37092209925714,-55.2670955236071,"OakLolomai_926_0600",19.87,26.42,14.2,83.2
"24",34,"2018-09-29 00:10:52",40,70,488.03277025963,-18.8058635727778,5.69081636648889,-55.7934092327778,"OakLolomai_926_1800",21.78,26.31,22.7,56
"25",36,"2018-09-28 23:39:00",40,70,652.673009326786,-17.8899150629286,6.88352311036429,-55.4994163647857,"OakLolomai_926_1200",27.29,26.4,24.3,40.3
"26",38,"2018-09-28 21:57:33",40,70,670.75598550358,-19.6991499743827,9.2658792109037,-55.6447477514444,"OakLolomai_926_1000",20.09,26.44,29.7,37.4
"27",39,"2018-09-28 22:17:59",40,70,1119.69575352414,-18.8263254086207,12.4402559702069,-55.1141485711034,"OakWillow_927_0800",17.74,26.54,14.1,64.7
"28",51,"2018-09-29 00:27:38",40,70,496.378210190536,-20.0648781338393,6.780025099125,-56.0311332097143,"OakLolomai_926_2200",20.87,26.37,15.4,64.2
"29",92,"2018-09-28 22:20:29",40,70,632.432625324107,-17.5679451187321,6.13445448136786,-55.1796607901071,"OakLolomai_926_1400",22,26.34,33.7,20.2
"30",94,"2018-09-28 23:45:45",40,70,494.853385202857,-19.7478838633214,7.52361206715714,-54.7761197676071,"OakLolomai_926_2000",21.37,26.34,16.7,65.7
"31",122,"2018-09-28 21:07:11",40,70,1136.28702683929,-19.4464611969821,13.0170311923929,-56.2744872936786,"OakWillow_928_0800",17.71,26.51,14.1,71.4
"32",127,"2018-09-28 21:50:01",40,70,1050.97982444107,-20.8822103270179,12.33502166,-56.2005624228929,"OakWillow_928_0400",18.72,26.47,9.3,90.7
"33",129,"2018-09-28 21:02:01",40,70,1022.86495393393,-19.9011147128214,11.6914544376786,-56.2849394511786,"OakWillow_928_0000",20.7,26.44,12.6,89.6
"34",132,"2018-09-28 21:52:36",40,70,1030.51343070893,-19.2444099833214,12.4310816741786,-55.1262941216429,"OakWillow_927_2000",20.83,26.39,17.5,65.3
"35",134,"2018-09-28 21:44:52",40,70,1062.07945676071,-17.2699617476964,10.8733202593214,-56.6108133760357,"OakWillow_927_1600",20.85,26.36,25,63.9
"36",2,"2018-09-28 21:12:05",40,70,600.428912926667,-21.054707412037,8.18259873566667,-55.7258676663333,"OakLolomai_926_0800",19.6,26.44,15.3,81.4
"37",5,"2018-09-28 22:05:18",40,70,587.537761939821,-21.4055710042679,8.37225278778571,-56.1169959963214,"OakLolomai_926_0600",19.87,26.42,14.2,83.2
"38",9,"2018-09-28 21:14:28",40,70,687.513067195179,-19.3789058398929,10.0934079324643,-55.6197646250714,"OakLolomai_926_1000",20.09,26.44,29.7,37.4
"39",12,"2018-09-28 22:12:52",40,70,506.106800727414,-19.6392031491379,5.5720067912931,-56.4711121282414,"OakLolomai_926_1800",21.78,26.31,22.7,56
"40",13,"2018-09-28 23:31:39",40,70,520.737312039815,-20.947503298037,8.52340416063704,-56.1285699427407,"OakLolomai_927_0200",20.18,26.39,13.6,60
"41",24,"2018-09-28 21:09:34",40,70,498.208244386603,-21.5075873569038,7.86610180300385,-55.0164762741154,"OakLolomai_927_0400",19.7,26.39,11.6,68.4
"42",27,"2018-09-28 22:10:10",40,70,663.76788460537,-18.0073572965,7.1653679076,-55.7489165127407,"OakLolomai_926_1200",27.29,26.4,24.3,40.3
"43",29,"2018-09-29 00:08:38",40,70,490.328181519643,-19.6851927451071,7.83025409831786,-55.5996195915,"OakLolomai_926_2000",21.37,26.34,16.7,65.7
"44",30,"2018-09-28 23:41:21",40,70,549.885485121786,-18.2152732479821,5.51653372468571,-55.4482792101786,"OakLolomai_926_1600",22.01,26.31,28.9,40.6
"45",33,"2018-09-28 23:21:54",40,70,1119.6156422625,-19.1693452724821,12.4939652911071,-56.2088546932143,"OakWillow_927_0800",17.74,26.54,14.1,64.7
"46",35,"2018-09-29 00:13:07",40,70,598.670053052679,-18.2339591349107,5.83544062089286,-55.4825283175,"OakLolomai_926_1400",22,26.34,33.7,20.2
"47",52,"2018-09-29 00:25:21",40,70,506.627043878148,-20.421670576,7.85120762665556,-55.5604020661111,"OakLolomai_927_0000",20.51,26.38,14.5,63.8
"48",53,"2018-09-28 23:24:21",40,70,514.939198194444,-19.7706316767593,6.96291085103333,-55.4425636002963,"OakLolomai_926_2200",20.87,26.37,15.4,64.2
"49",120,"2018-09-28 21:47:32",40,70,1144.27952982407,-16.6865178416852,10.5211739098148,-55.9309357116667,"OakWillow_927_1200",19.68,26.48,31.2,46.3
"50",123,"2018-09-28 20:39:45",40,70,1115.74876282308,-19.8047167159103,12.4348434169231,-56.4621047807692,"OakWillow_928_0800",17.71,26.51,14.1,71.4
