"","Syringe","ResetTime","H2O_mL","air_mL","CO2","delCO2","CH4","delCH4","SampleID","pH","WaterTemp_C","Baro_inHg","AirTemp_C"
"1",2,"2018-08-24 03:13:04",40,70,644.406283759595,-19.9125286645541,5.4467782378973,-58.6377426999189,"Blaine_822_1600",8.47,19.71,26.81,34.2
"2",6,"2018-08-24 02:33:37",40,70,651.054143079815,-20.9874221678704,5.36905382693611,-58.2639611163889,"Blaine_822_1800",8.51,19.86,26.77,24.9
"3",7,"2018-08-24 03:15:36",40,70,891.775523203426,-22.5256937499074,6.30530407959444,-57.9017937018889,"Blaine_823_0000",8.1,16.35,26.78,8.3
"4",10,"2018-08-24 04:01:00",40,70,743.424846185417,-20.8930942267639,5.75269675569722,-57.6671350192778,"Blaine_822_1400",8.41,18.26,26.87,31.9
"5",13,"2018-08-24 03:10:45",40,70,740.003082631667,-21.8543201651286,5.9352482592,-57.9757628686,"Blaine_822_1200",8.31,16.14,26.92,23.4
"6",14,"2018-08-24 03:25:06",40,70,595.151786010333,-21.3921556028857,5.33537412142571,-57.6649414152286,"Blaine_822_2000",8.49,18.86,26.75,18.8
"7",30,"2018-08-24 02:26:04",40,70,714.242918185417,-21.4303968386111,5.94858195354444,-58.5841003161389,"Blaine_822_2200",8.3,17.48,26.76,10.5
"8",35,"2018-08-24 02:50:55",40,70,866.986205425676,-23.7223590652027,6.44883806234054,-57.4515578287838,"Blaine_823_0600",8.1,14.52,26.81,3.9
"9",37,"2018-08-24 01:56:36",40,70,902.506028285417,-24.1142892277917,6.51160532098611,-58.1651598298333,"Blaine_823_0400",8.1,15.01,26.8,5
"10",39,"2018-08-24 03:58:39",40,70,899.505596450811,-23.3495008964459,6.44386428216487,-57.9781081314324,"Blaine_823_0200",8.11,15.63,26.78,8.7
"11",54,"2018-08-24 03:53:44",40,70,835.967147747222,-23.771539788,6.74123954678333,-57.3042013608333,"Blaine_822_1000",8.15,14.11,26.95,20.8
"12",93,"2018-08-24 04:15:03",40,70,850.302420887571,-24.6464934677857,7.17508052156571,-56.7965639813429,"Blaine_822_0800",8.07,13.64,26.99,6.1
"13",96,"2018-08-24 04:07:56",40,70,834.082028755676,-24.3171608141216,6.63524625444054,-57.2183163102703,"Blaine_822_0600",8.04,14.12,26.99,5.9
"14",3,"2018-08-24 03:27:32",40,70,636.121438001095,-20.3527482962429,5.60298925464,-58.5320990693143,"Blaine_822_1600",8.47,19.71,26.81,34.2
"15",5,"2018-08-24 02:31:16",40,70,599.431955780946,-20.3632897052432,5.22141155895405,-57.9943067827297,"Blaine_822_1800",8.51,19.86,26.77,24.9
"16",9,"2018-08-24 01:49:14",40,70,901.296976992778,-23.0302275262639,6.34192861223056,-58.0901130422778,"Blaine_823_0000",8.1,16.35,26.78,8.3
"17",12,"2018-08-24 02:01:38",40,70,878.133308555139,-23.6623815680139,6.52291578601667,-57.84913856175,"Blaine_823_0400",8.1,15.01,26.8,5
"18",29,"2018-08-24 03:56:11",40,70,731.898996817143,-22.0112118116714,5.50530516266,-56.3244893068857,"Blaine_822_1200",8.31,16.14,26.92,23.4
"19",36,"2018-08-24 02:45:55",40,70,869.706225960694,-23.2822491624722,6.39644567722222,-57.7539980939444,"Blaine_823_0200",8.11,15.63,26.78,8.7
"20",38,"2018-08-24 02:38:34",40,70,704.974693336389,-22.0277324966111,5.66874769488889,-58.2078133695833,"Blaine_822_2200",8.3,17.48,26.76,10.5
