,Syringe,ResetTime,H2O_mL,air_mL,STARTTIME,CO2,delCO2,CH4,delCH4,SampleID,WaterTemp_C,Baro_inHg,AirTemp_C,pRH
1,12,8/31/2018 20:11,40,70,8/31/2018 20:11,747.7467992,-21.82952681,17.40735116,-62.98886935,Beaver_831_0200,7.88,26.45,6.5,94.5
2,13,8/31/2018 21:11,40,70,8/31/2018 21:10,881.1814021,-20.99264071,17.89984827,-63.17296995,Beaver_830_0600,7.68,26.34,9.1,85.2
3,27,8/31/2018 20:24,40,70,8/31/2018 20:24,783.0614506,-22.0580514,17.32959501,-63.20679812,Beaver_831_0600,7.67,26.45,7.9,95
4,28,8/31/2018 19:19,40,70,8/31/2018 19:19,513.4503874,-22.86899305,14.35165887,-62.28473729,Beaver_830_2000,10.17,26.37,12.4,90.6
5,30,8/31/2018 19:07,40,70,8/31/2018 19:07,757.9853242,-22.08613992,18.16890187,-63.46526697,Beaver_831_0400,7.62,26.46,5.5,94
6,37,8/31/2018 19:27,40,70,8/31/2018 19:26,385.5450113,-22.66788823,10.56643845,-62.77014767,Beaver_830_1800,12.77,26.35,19.1,61.3
7,52,8/31/2018 20:47,40,70,8/31/2018 20:47,763.22298,-21.92048461,15.57654309,-63.21631379,Beaver_830_0800,7.76,26.36,10.6,93.4
8,53,8/31/2018 20:01,40,70,8/31/2018 20:01,574.5204454,-22.42666609,12.94990193,-63.409234,Beaver_830_1000,8.69,26.37,20.7,43.8
9,54,8/31/2018 19:29,40,70,8/31/2018 19:29,487.3991988,-20.64611905,11.53563337,-63.02498582,Beaver_830_1400,12.93,26.36,37,23.6
10,91,8/31/2018 20:54,40,70,8/31/2018 20:54,520.5422185,-22.63452259,12.86018866,-63.35689131,Beaver_830_1200,10.77,26.36,32,21.6
11,93,8/31/2018 20:09,40,70,8/31/2018 20:08,687.086489,-22.50240594,18.82825347,-62.72258894,Beaver_830_2200,9.13,26.41,9.3,93.2
12,97,8/31/2018 19:22,40,70,8/31/2018 19:22,742.7963305,-21.92648835,19.68590779,-63.10635587,Beaver_831_0000,8.33,26.43,6.9,93.9
13,98,8/31/2018 21:04,40,70,8/31/2018 21:03,412.0482583,-20.71361143,11.48701915,-62.535437,Beaver_830_1600,14.16,26.36,38.4,21.6
14,2,8/31/2018 19:09,40,70,8/31/2018 19:09,800.0039136,-21.79127129,17.08900928,-63.48221161,Beaver_831_0600,7.67,26.45,7.9,95
15,5,8/31/2018 20:16,40,70,8/31/2018 20:16,670.116289,-22.16083712,17.84460543,-62.72258452,Beaver_830_2200,9.13,26.41,9.3,93.2
16,7,8/31/2018 20:21,40,70,8/31/2018 20:21,742.3729104,-22.01308364,17.48240496,-63.03682278,Beaver_831_0200,7.88,26.45,6.5,94.5
17,33,8/31/2018 20:52,40,70,8/31/2018 20:52,757.5221306,-22.32476554,15.03229641,-63.47684829,Beaver_830_0800,7.76,26.36,10.6,93.4
